Problem,Var_num,Cls_num,Result,TResult,Time
1,0,3,x,u,
2,3,10,x,u,
3,9,35,s,,0.000545
4,18,104,s,,0.000838
5,30,237,u,,0.000900
6,45,455,u,,0.001252
7,63,779,s,,0.000956
8,84,1230,s,,0.001118
9,108,1829,u,,0.046992
10,135,2597,u,,0.345688
11,165,3555,s,,0.002439
12,198,4724,s,,0.002996
13,234,6125,u,,143.049377
14,273,7779,u,,1446.500662
15,315,9707,s,,0.006108
16,360,11930,s,,0.007184
17,408,14469,x,u,4999.725778
18,459,17345,x,u,4999.646099
19,513,20579,s,,0.012117
20,570,24192,s,,0.012884
